CPU: ID 0x906ea, Processor Type 0x0, Family 0x6, Model 0x9e, Stepping 0xa
Northbridge: 8086:3ec4 (unknown)
Southbridge: 8086:a2ca (H310C)
Trying to reveal Primary to Sideband Bridge (P2SB),
let's hope the OS doesn't mind... done.
SBREG_BAR = 0xfd000000 (MEM)
0x05b8: 0x0000001f84000200 GPP_E7       GPIO                
0x05c0: 0x0000002084000600 GPP_E8       SATA_LED#           
0x05c8: 0x0000002184000102 GPP_E9       GPIO                
0x05d0: 0x0000002284000102 GPP_E10      GPIO                
0x05d8: 0x0000002384000102 GPP_E11      GPIO                
0x05e0: 0x0000002484000102 GPP_E12      GPIO                
------- GPIO Group GPP_F -------
0x05e8: 0x0000002584000200 GPP_F0       GPIO                
0x05f0: 0x0000002684000200 GPP_F1       GPIO                
0x05f8: 0x0000002784000200 GPP_F2       GPIO                
0x0600: 0x0000002884000200 GPP_F3       GPIO                
0x0608: 0x0000002984000200 GPP_F4       GPIO                
0x0610: 0x0000002a84000102 GPP_F5       GPIO                
0x0618: 0x0000002b84000200 GPP_F6       GPIO                
0x0620: 0x0000002c84000200 GPP_F7       GPIO                
0x0628: 0x0000002d84000200 GPP_F8       GPIO                
0x0630: 0x0000002e84000200 GPP_F9       GPIO                
0x0638: 0x0000002f84000200 GPP_F10      GPIO                
0x0640: 0x0000003084000200 GPP_F11      GPIO                
0x0648: 0x0000003184000200 GPP_F12      GPIO                
0x0650: 0x0000003284000200 GPP_F13      GPIO                
0x0658: 0x0000003384000200 GPP_F14      GPIO                
0x0660: 0x0000003484000102 GPP_F15      GPIO                
0x0668: 0x0000003584000102 GPP_F16      GPIO                
0x0670: 0x0000003684000102 GPP_F17      GPIO                
0x0678: 0x0000003784000102 GPP_F18      GPIO                
0x0680: 0x0000003884000200 GPP_F19      GPIO                
0x0688: 0x0000003984000200 GPP_F20      GPIO                
0x0690: 0x0000003a84000200 GPP_F21      GPIO                
0x0698: 0x0000003b84000200 GPP_F22      GPIO                
0x06a0: 0x0000003c84000200 GPP_F23      GPIO                
------- GPIO Group GPP_G -------
0x06a8: 0x0000003d84000200 GPP_G0       GPIO                
0x06b0: 0x0000003e84000200 GPP_G1       GPIO                
0x06b8: 0x0000003f84000200 GPP_G2       GPIO                
0x06c0: 0x0000004084000200 GPP_G3       GPIO                
0x06c8: 0x0000004184000200 GPP_G4       GPIO                
0x06d0: 0x0000004284000200 GPP_G5       GPIO                
0x06d8: 0x0000004384000200 GPP_G6       GPIO                
0x06e0: 0x0000004484000200 GPP_G7       GPIO                
0x06e8: 0x0000004584000200 GPP_G8       GPIO                
0x06f0: 0x0000004684000200 GPP_G9       GPIO                
0x06f8: 0x0000004784000200 GPP_G10      GPIO                
0x0700: 0x0000004884000200 GPP_G11      GPIO                
0x0708: 0x0000004984000200 GPP_G12      GPIO                
0x0710: 0x0000004a84000200 GPP_G13      GPIO                
0x0718: 0x0000004b84000200 GPP_G14      GPIO                
0x0720: 0x0000004c84000200 GPP_G15      GPIO                
0x0728: 0x0000004d84000200 GPP_G16      GPIO                
0x0730: 0x0000004e84000200 GPP_G17      GPIO                
0x0738: 0x0000004f80100102 GPP_G18      GPIO                
0x0740: 0x0000005084000500 GPP_G19      SMI#                
0x0748: 0x0000005184000200 GPP_G20      GPIO                
0x0750: 0x0000005242880102 GPP_G21      GPIO                
0x0758: 0x0000005384000200 GPP_G22      GPIO                
0x0760: 0x0000005484000200 GPP_G23      GPIO                
------- GPIO Group GPP_H -------
0x0768: 0x0000005584000200 GPP_H0       GPIO                
0x0770: 0x0000005684000200 GPP_H1       GPIO                
0x0778: 0x0000005784000200 GPP_H2       GPIO                
0x0780: 0x0000005884000200 GPP_H3       GPIO                
0x0788: 0x0000005984000200 GPP_H4       GPIO                
0x0790: 0x0000005a84000200 GPP_H5       GPIO                
0x0798: 0x0000005b84000200 GPP_H6       GPIO                
0x07a0: 0x0000005c84000200 GPP_H7       GPIO                
0x07a8: 0x0000005d84000200 GPP_H8       GPIO                
0x07b0: 0x0000005e84000200 GPP_H9       GPIO                
0x07b8: 0x0000005f84000200 GPP_H10      GPIO                
0x07c0: 0x0000006084000200 GPP_H11      GPIO                
0x07c8: 0x0000006184000200 GPP_H12      GPIO                
0x07d0: 0x0000006284000200 GPP_H13      GPIO                
0x07d8: 0x0000006384000200 GPP_H14      GPIO                
0x07e0: 0x0000006484000200 GPP_H15      GPIO                
0x07e8: 0x0000006584000200 GPP_H16      GPIO                
0x07f0: 0x0000006684000200 GPP_H17      GPIO                
0x07f8: 0x0000006784000200 GPP_H18      GPIO                
0x0800: 0x0000006884000200 GPP_H19      GPIO                
0x0808: 0x0000006984000200 GPP_H20      GPIO                
0x0810: 0x0000006a84000200 GPP_H21      GPIO                
0x0818: 0x0000006b84000200 GPP_H22      GPIO                
0x0820: 0x0000006c84000200 GPP_H23      GPIO                
------- GPIO Community 2 -------

PCR Port ID: 0xad0000

-------- GPIO Group GPD --------
0x0400: 0x0000001884000602 GPD0         BATLOW#             
0x0408: 0x0000001984000602 GPD1         ACPRESENT           
0x0410: 0x0000001a00880102 GPD2         GPIO                
0x0418: 0x0000301b04000502 GPD3         PWRBTN#             
0x0420: 0x0000001c04000600 GPD4         SLP_S3#             
0x0428: 0x0000001d04000600 GPD5         SLP_S4#             
0x0430: 0x0000001e04000600 GPD6         SLP_A#              
0x0438: 0x0000001f84000201 GPD7         GPIO                
0x0440: 0x0000002004000600 GPD8         SUSCLK              
0x0448: 0x0000002104000200 GPD9         GPIO                
0x0450: 0x0000002204000600 GPD10        SLP_S5#             
0x0458: 0x0000002384000200 GPD11        GPIO                
------- GPIO Community 3 -------

PCR Port ID: 0xac0000

------- GPIO Group GPP_I -------
0x0400: 0x0000006d84000500 GPP_I0       DDPB_HPD0           
0x0408: 0x0000006e84000200 GPP_I1       GPIO                
0x0410: 0x0000006f84000500 GPP_I2       DDPD_HPD2           
0x0418: 0x0000007084000500 GPP_I3       DDPE_HPD3           
0x0420: 0x0000007184000500 GPP_I4       EDP_HPD             
0x0428: 0x0000007284000500 GPP_I5       DDPB_CTRLCLK        
0x0430: 0x0000107384000500 GPP_I6       DDPB_CTRLDATA       
0x0438: 0x0000007484000500 GPP_I7       DDPC_CTRLCLK        
0x0440: 0x0000107584000500 GPP_I8       DDPC_CTRLDATA       
0x0448: 0x0000007684000500 GPP_I9       DDPD_CTRLCLK        
0x0450: 0x0000107784000500 GPP_I10      DDPD_CTRLDATA       



============= RCBA ==============

Error: Dumping RCBA on this southbridge is not (yet) supported.



========== ACPI/PMC =========

Error: Dumping PMBASE on this southbridge is not (yet) supported.



========== LPC/eSPI =========

Error: Dumping LPC/eSPI on this southbridge is not (yet) supported.



============= MCHBAR ============

Error: Dumping MCHBAR on this northbridge is not (yet) supported.
Error: Unknown PCI id: 00008086/00003ec4



============= EPBAR =============

Error: Dumping EPBAR on this northbridge is not (yet) supported.



============= DMIBAR ============

Error: Dumping DMIBAR on this northbridge is not (yet) supported.


========= PCIEXBAR ========

Error: Dumping PCIEXBAR on this northbridge is not (yet) supported.



===================== SHARED MSRs (All Cores) =====================
 MSR 0x00000017 = 0x00140000:0x00000000 (IA32_PLATFORM_ID)
 MSR 0x00000080 = 0x00000000:0x00000000 (MSR_TRACE_HUB_STH_ACPIBAR_BASE)
 MSR 0x000000CE = 0x0808083B:0xF9011800 (MSR_PLATFORM_INFO)
 MSR 0x00000198 = 0x00002477:0x00002400 (IA32_PERF_STATUS)
 MSR 0x000001A2 = 0x00000000:0x00640000 (MSR_TEMPERATURE_TARGET)
 MSR 0x000001AD = 0x00002122:0x23242428 (MSR_TURBO_RATIO_LIMIT)
 MSR 0x00000284 = 0x00000000:0x00000000 (IA32_MC4_CTL2)
 MSR 0x000002F4 = 0x00000000:0x00000000 (MSR_UNCORE_PRMRR_PHYS_BASE)
 MSR 0x000002F5 = 0x00000000:0x00000400 (MSR_UNCORE_PRMRR_PHYS_MASK)
 MSR 0x00000394 = 0x00000000:0x00000000 (MSR_UNC_PERF_FIXED_CTRL)
 MSR 0x00000395 = 0x00000000:0x00000000 (MSR_UNC_PERF_FIXED_CTR)
 MSR 0x0000060A = 0x00000000:0x0000884E (MSR_PKGC3_IRTL)
 MSR 0x0000060B = 0x00000000:0x00008876 (MSR_PKGC6_IRTL)
 MSR 0x0000060D = 0x00000016:0x57E26EC8 (MSR_PKG_C2_RESIDENCY)
 MSR 0x00000610 = 0x004282D0:0x00DD8208 (MSR_PKG_POWER_LIMIT)
 MSR 0x00000614 = 0x00000000:0x00000168 (MSR_PKG_POWER_INFO)
 MSR 0x00000620 = 0x00000000:0x00000821 (MSR_RING_RATIO_LIMIT)
 MSR 0x00000638 = 0x00000000:0x00000000 (MSR_PP0_POWER_LIMIT)
 MSR 0x0000064F = 0x00000000:0x34000000 (MSR_CORE_PERF_LIMIT_REASONS)
 MSR 0x00000652 = 0x00000000:0x00000002 (MSR_PKG_HDC_CONFIG)
 MSR 0x0000065C = 0x00000000:0x00DD0000 (MSR_PLATFORM_POWER_LIMIT)
 MSR 0x000006B0 = 0x00000000:0x00000000 (MSR_GRAPHICS_PERF_LIMIT_REASONS)
 MSR 0x000006B1 = 0x00000000:0x01000000 (MSR_RING_PERF_LIMIT_REASONS)
 MSR 0x00000770 = 0x00000000:0x00000001 (IA32_PM_ENABLE)
 MSR 0x00000DB0 = 0x00000000:0x00000001 (IA32_PKG_HDC_CTL)
 MSR 0x000003B0 = 0x00000000:0x00000000 (MSR_UNC_ARB_PERFCTR0)
 MSR 0x000003B1 = 0x00000000:0x00000000 (MSR_UNC_ARB_PERFCTR1)
 MSR 0x000003B2 = 0x00000000:0x00000000 (MSR_UNC_ARB_PERFEVTSEL0)
 MSR 0x000003B3 = 0x00000000:0x00000000 (MSR_UNC_ARB_PERFEVTSEL1)
 MSR 0x00000700 = 0x00000000:0x00000000 (MSR_UNC_CBO_0_PERFCTR0)
 MSR 0x00000701 = 0x00000000:0x00000000 (MSR_UNC_CBO_0_PERFCTR1)
 MSR 0x00000706 = 0x00000000:0x00000000 (MSR_UNC_CBO_0_PERFEVTSEL0)
 MSR 0x00000707 = 0x00000000:0x00000000 (MSR_UNC_CBO_0_PERFEVTSEL1)
 MSR 0x00000710 = 0x00000000:0x00000000 (MSR_UNC_CBO_1_PERFCTR0)
 MSR 0x00000711 = 0x00000000:0x00000000 (MSR_UNC_CBO_1_PERFCTR1)
 MSR 0x00000716 = 0x00000000:0x00000000 (MSR_UNC_CBO_1_PERFEVTSEL0)
 MSR 0x00000717 = 0x00000000:0x00000000 (MSR_UNC_CBO_1_PERFEVTSEL1)
 MSR 0x00000720 = 0x00000000:0x00000000 (MSR_UNC_CBO_2_PERFCTR0)
 MSR 0x00000721 = 0x00000000:0x00000000 (MSR_UNC_CBO_2_PERFCTR1)
 MSR 0x00000726 = 0x00000000:0x00000000 (MSR_UNC_CBO_2_PERFEVTSEL0)
 MSR 0x00000727 = 0x00000000:0x00000000 (MSR_UNC_CBO_2_PERFEVTSEL1)
 MSR 0x00000730 = 0x00000000:0x00000000 (MSR_UNC_CBO_3_PERFCTR0)
 MSR 0x00000731 = 0x00000000:0x00000000 (MSR_UNC_CBO_3_PERFCTR1)
 MSR 0x00000736 = 0x00000000:0x00000000 (MSR_UNC_CBO_3_PERFEVTSEL0)
 MSR 0x00000737 = 0x00000000:0x00000000 (MSR_UNC_CBO_3_PERFEVTSEL1)
 MSR 0x00000E01 = 0x00000000:0x2000001F (MSR_UNC_PERF_GLOBAL_CTRL)
 MSR 0x00000E02 = 0x00000000:0x00000000 (MSR_UNC_PERF_GLOBAL_STATUS)

====================== UNIQUE MSRs  (core 0) ======================
 MSR 0x00000000 = 0x00000000:0x00000FFF (IA32_P5_MC_ADDR)
 MSR 0x00000001 = 0x00000000:0x00000000 (IA32_P5_MC_TYPE)
 MSR 0x00000006 = 0x00000000:0x00000040 (IA32_MONITOR_FILTER_SIZE)
 MSR 0x00000010 = 0x00000039:0x4AA44EF2 (IA32_TIME_STAMP_COUNTER)
 MSR 0x0000001B = 0x00000000:0xFEE00D00 (IA32_APIC_BASE)
 MSR 0x00000034 = 0x00000000:0x000001DD (MSR_SMI_COUNT)
 MSR 0x0000003A = 0x00000000:0x00000005 (IA32_FEATURE_CONTROL)
 MSR 0x0000008B = 0x000000F4:0x00000000 (IA32_BIOS_SIGN_ID)
 MSR 0x000000C1 = 0x00000000:0x00000000 (IA32_PMC0)
 MSR 0x000000C2 = 0x00000000:0x00000000 (IA32_PMC1)
 MSR 0x000000C3 = 0x00000000:0x00000000 (IA32_PMC2)
 MSR 0x000000C4 = 0x00000000:0x0000FFFF (IA32_PMC3)
 MSR 0x000000E2 = 0x00000000:0x1E008008 (MSR_PKG_CST_CONFIG_CONTROL)
 MSR 0x000000E4 = 0x00000000:0x00051814 (MSR_PMG_IO_CAPTURE_BASE)
 MSR 0x000000E7 = 0x0000000B:0x8E8E13E1 (IA32_MPERF)
 MSR 0x000000E8 = 0x0000000F:0xD6FCA839 (IA32_APERF)
 MSR 0x000000FE = 0x00000000:0x00001D0A (IA32_MTRRCAP)
 MSR 0x0000013C = 0x00000000:0x00000001 (MSR_FEATURE_CONFIG)
 MSR 0x00000174 = 0x00000000:0x00000010 (IA32_SYSENTER_CS)
 MSR 0x00000175 = 0xFFFFFE00:0x00003000 (IA32_SYSENTER_ESP)
 MSR 0x00000176 = 0xFFFFFFFF:0x8D6018A0 (IA32_SYSENTER_EIP)
 MSR 0x00000179 = 0x00000000:0x00000C0C (IA32_MCG_CAP)
 MSR 0x0000017A = 0x00000000:0x00000000 (IA32_MCG_STATUS)
 MSR 0x00000186 = 0x00000000:0x00000000 (IA32_PERFEVTSEL0)
 MSR 0x00000187 = 0x00000000:0x00000000 (IA32_PERFEVTSEL1)
 MSR 0x00000188 = 0x00000000:0x00000000 (IA32_PERFEVTSEL2)
 MSR 0x00000189 = 0x00000000:0x00000000 (IA32_PERFEVTSEL3)
 MSR 0x00000199 = 0x00000000:0x00000800 (IA32_PERF_CTL)
 MSR 0x0000019A = 0x00000000:0x00000000 (IA32_CLOCK_MODULATION)
 MSR 0x0000019B = 0x00000000:0x00000013 (IA32_THERM_INTERRUPT)
 MSR 0x0000019C = 0x00000000:0x88470800 (IA32_THERM_STATUS)
 MSR 0x000001A0 = 0x00000000:0x00850089 (IA32_MISC_ENABLE)
 MSR 0x000001A4 = 0x00000000:0x00000000 (IA32_MISC_FEATURE_CONTROL)
 MSR 0x000001A6 = 0x00000000:0x00000000 (MSR_OFFCORE_RSP_0)
 MSR 0x000001A7 = 0x00000000:0x00000000 (MSR_OFFCORE_RSP_1)
 MSR 0x000001C8 = 0x00000000:0x00000000 (MSR_LBR_SELECT)
 MSR 0x000001C9 = 0x00000000:0x00000000 (MSR_LASTBRANCH_TOS)
 MSR 0x000001D9 = 0x00000000:0x00004000 (IA32_DEBUGCTL)
 MSR 0x000001DD = 0x00000000:0x00000000 (MSR_LER_FROM_LIP)
 MSR 0x000001DE = 0x00000000:0x00000000 (MSR_LER_TO_LIP)
 MSR 0x000001F2 = 0x00000000:0xBF800006 (IA32_SMRR_PHYSBASE)
 MSR 0x000001F3 = 0x00000000:0xFF800800 (IA32_SMRR_PHYSMASK)
 MSR 0x000001F4 = 0x00000000:0x00000000 (MSR_PRMRR_PHYS_BASE)
 MSR 0x000001F5 = 0x00000000:0x00000000 (MSR_PRMRR_PHYS_MASK)
 MSR 0x000001FB = 0x00000000:0x000000E1 (MSR_PRMRR_VALID_CONFIG)
 MSR 0x000001FC = 0x00000000:0x002C005D (MSR_POWER_CTL)
 MSR 0x00000200 = 0x00000000:0xC0000000 (IA32_MTRR_PHYSBASE0)
 MSR 0x00000201 = 0x0000007F:0xC0000800 (IA32_MTRR_PHYSBASE0)
 MSR 0x00000202 = 0x00000000:0x00000000 (IA32_MTRR_PHYSBASE1)
 MSR 0x00000203 = 0x00000000:0x00000000 (IA32_MTRR_PHYSBASE1)
 MSR 0x00000204 = 0x00000000:0x00000000 (IA32_MTRR_PHYSBASE2)
 MSR 0x00000205 = 0x00000000:0x00000000 (IA32_MTRR_PHYSBASE2)
 MSR 0x00000206 = 0x00000000:0x00000000 (IA32_MTRR_PHYSBASE3)
 MSR 0x00000207 = 0x00000000:0x00000000 (IA32_MTRR_PHYSBASE3)
 MSR 0x00000208 = 0x00000000:0x00000000 (IA32_MTRR_PHYSBASE4)
 MSR 0x00000209 = 0x00000000:0x00000000 (IA32_MTRR_PHYSBASE4)
 MSR 0x0000020A = 0x00000000:0x00000000 (IA32_MTRR_PHYSBASE5)
 MSR 0x0000020B = 0x00000000:0x00000000 (IA32_MTRR_PHYSBASE5)
 MSR 0x0000020C = 0x00000000:0x00000000 (IA32_MTRR_PHYSBASE6)
 MSR 0x0000020D = 0x00000000:0x00000000 (IA32_MTRR_PHYSBASE6)
 MSR 0x0000020E = 0x00000000:0x00000000 (IA32_MTRR_PHYSBASE7)
 MSR 0x0000020F = 0x00000000:0x00000000 (IA32_MTRR_PHYSBASE7)
 MSR 0x00000210 = 0x00000000:0x00000000 (IA32_MTRR_PHYSBASE8)
 MSR 0x00000211 = 0x00000000:0x00000000 (IA32_MTRR_PHYSBASE8)
 MSR 0x00000212 = 0x00000000:0x00000000 (IA32_MTRR_PHYSBASE9)
 MSR 0x00000213 = 0x00000000:0x00000000 (IA32_MTRR_PHYSBASE9)
 MSR 0x00000250 = 0x06060606:0x06060606 (IA32_MTRR_FIX64K_00000)
 MSR 0x00000258 = 0x06060606:0x06060606 (IA32_MTRR_FIX16K_80000)
 MSR 0x00000259 = 0x00000000:0x00000000 (IA32_MTRR_FIX16K_A0000)
 MSR 0x00000268 = 0x05050505:0x05050505 (IA32_MTRR_FIX4K_C0000)
 MSR 0x00000269 = 0x05050505:0x05050505 (IA32_MTRR_FIX4K_C8000)
 MSR 0x0000026A = 0x05050505:0x05050505 (IA32_MTRR_FIX4K_D0000)
 MSR 0x0000026B = 0x05050505:0x05050505 (IA32_MTRR_FIX4K_D8000)
 MSR 0x0000026C = 0x05050505:0x05050505 (IA32_MTRR_FIX4K_E0000)
 MSR 0x0000026D = 0x05050505:0x05050505 (IA32_MTRR_FIX4K_E8000)
 MSR 0x0000026E = 0x05050505:0x05050505 (IA32_MTRR_FIX4K_F0000)
 MSR 0x0000026F = 0x05050505:0x05050505 (IA32_MTRR_FIX4K_F8000)
 MSR 0x00000277 = 0x04070506:0x00070106 (IA32_PAT)
 MSR 0x00000280 = 0x00000000:0x40000001 (IA32_MC0_CTL2)
 MSR 0x00000281 = 0x00000000:0x40000001 (IA32_MC1_CTL2)
 MSR 0x00000282 = 0x00000000:0x40000001 (IA32_MC2_CTL2)
 MSR 0x00000283 = 0x00000000:0x40000001 (IA32_MC3_CTL2)
 MSR 0x000002FF = 0x00000000:0x00000C06 (IA32_MTRR_DEF_TYPE)
 MSR 0x00000309 = 0x00000000:0x00000000 (IA32_FIXED_CTR0)
 MSR 0x0000030A = 0x0000FFFE:0xC11FE456 (IA32_FIXED_CTR1)
 MSR 0x0000030B = 0x00000000:0x00000000 (IA32_FIXED_CTR2)
 MSR 0x00000345 = 0x00000000:0x000033C5 (IA32_PERF_CAPABILITIES)
 MSR 0x0000038D = 0x00000000:0x000000B0 (IA32_FIXED_CTR_CTRL)
 MSR 0x0000038E = 0x00000000:0x00000000 (IA32_PERF_GLOBAL_STATUS)
 MSR 0x0000038F = 0x00000007:0x0000000F (IA32_PERF_GLOBAL_CTRL)
 MSR 0x00000390 = 0x00000000:0x00000000 (IA32_PERF_GLOBAL_STATUS_RESET)
 MSR 0x00000391 = 0x00000000:0x00000000 (IA32_PERF_GLOBAL_STATUS_SET)
 MSR 0x000003F1 = 0x00000000:0x00000000 (MSR_PEBS_ENABLE)
 MSR 0x000003F6 = 0x00000000:0x0000FFFF (MSR_PEBS_LD_LAT)
 MSR 0x000003F7 = 0x00000000:0x00000800 (MSR_PEBS_FRONTEND)
 MSR 0x000003FC = 0x00000000:0x314253A8 (MSR_CORE_C3_RESIDENCY)
 MSR 0x000003FD = 0x00000001:0x0EACAF88 (MSR_CORE_C6_RESIDENCY)
 MSR 0x000003FE = 0x00000027:0x3790F938 (MSR_CORE_C7_RESIDENCY)
 MSR 0x00000400 = 0x00000000:0x00000FFF (IA32_MC0_CTL)
 MSR 0x00000401 = 0x00000000:0x00000000 (IA32_MC0_STATUS)
 MSR 0x00000402 = 0x00000000:0x00000000 (IA32_MC0_ADDR)
 MSR 0x00000403 = 0x00000000:0x00000000 (IA32_MC0_MISC)
 MSR 0x00000404 = 0x00000000:0x0000000F (IA32_MC1_CTL)
 MSR 0x00000405 = 0x00000000:0x00000000 (IA32_MC1_STATUS)
 MSR 0x00000406 = 0x00000000:0x00000000 (IA32_MC1_ADDR)
 MSR 0x00000407 = 0x00000000:0x00000000 (IA32_MC1_MISC)
 MSR 0x00000408 = 0x00000000:0x0000000F (IA32_MC2_CTL)
 MSR 0x00000409 = 0x00000000:0x00000000 (IA32_MC2_STATUS)
